CPICode|Year|Value
C_1902|1902|2.956561291789857
C_1904|1904|3.0702751876279284
C_1905|1905|3.0702751876279284
C_1906|1906|3.0702751876279284
C_1908|1908|3.0702751876279284
C_1909|1909|3.0702751876279284
C_1911|1911|3.183989083466
C_1913|1913|3.382302699009225
C_1914|1914|3.4164673727365904
C_1915|1915|3.450632046463957
C_1917|1917|4.3730782371028365
C_1920|1920|6.832934745473181
C_1921|1921|6.115476597198497
C_1922|1922|5.739665186197473
C_1923|1923|5.84215920737957
C_1925|1925|5.978817902289034
C_1926|1926|6.047147249743765
C_1928|1928|5.876323881106936
C_1929|1929|5.876323881106936
C_1930|1930|5.705500512470106
C_1931|1931|5.193030406559617
C_1932|1932|4.646395626921763
C_1933|1933|4.407242910830202
C_1934|1934|4.5780662794670315
C_1936|1936|4.7488896481038605
C_1939|1939|4.7488896481038605
C_1940|1940|4.7830543218312265
C_1941|1941|5.022207037922788
C_1942|1942|5.568841817560643
C_1943|1943|5.910488554834302
C_1944|1944|6.0129825760164
C_1945|1945|6.149641270925863
C_1946|1946|6.662111376836353
C_1947|1947|7.618722241202596
C_1948|1948|8.199521694567817
C_1949|1949|8.131192347113085
C_1951|1951|8.882815169115135
C_1952|1952|9.087803211479331
C_1953|1953|9.156132558934063
C_1954|1954|9.190297232661427
C_1955|1955|9.149004407398468
C_1956|1956|9.288531531283459
C_1957|1957|9.5989040625491
C_1958|1958|9.860877819009964
C_1960|1960|10.105762985303812
C_1961|1961|10.213963726835242
C_1962|1962|10.336410359411117
C_1963|1963|10.46454239023213
C_1964|1964|10.59837601701408
C_1965|1965|10.766378725272162
C_1966|1966|11.090997147582248
C_1967|1967|11.39852697972532
C_1968|1968|11.885446514332548
C_1969|1969|12.534675260094822
C_1970|1970|13.266479960995902
C_1971|1971|13.835983549599836
C_1972|1972|14.288734002730935
C_1973|1973|15.171452821723081
C_1974|1974|16.848629106323425
C_1975|1975|18.38912906501925
C_1976|1976|19.445544089372518
C_1977|1977|20.709832499420934
C_1978|1978|22.290195036695927
C_1979|1979|24.798840567503174
C_1980|1980|28.1588866338069
C_1981|1981|31.069024946102097
C_1982|1982|32.97399780682928
C_1983|1983|34.03326362916302
C_1984|1984|35.49688112982307
C_1985|1985|36.755467943910546
C_1986|1986|37.45311166219339
C_1987|1987|38.82560081377324
C_1988|1988|40.4088060501708
C_1989|1989|42.3593430854381
C_1990|1990|44.64587743836364
C_1991|1991|46.53662060576218
C_1992|1992|47.94612963679862
C_1993|1993|49.3613321649381
C_1994|1994|50.648402662256565
C_1995|1995|52.0692986874991
C_1996|1996|53.59556085400836
C_1997|1997|54.84845417099281
C_1998|1998|55.69986280534719
C_1999|1999|56.91858704085549
C_2000|2000|58.84064849174969
C_2001|2001|60.5035788853056
C_2002|2002|61.46318826119141
C_2003|2003|62.858459500041306
C_2004|2004|64.54132928174468
C_2005|2005|66.73105798620279
C_2006|2006|68.88375871234639
C_2007|2007|70.84879270325298
C_2008|2008|73.56874553550459
C_2009|2009|73.30717672193867
C_2010|2010|74.5094440781961
C_2011|2011|76.86159537781982
C_2012|2012|78.45211388290025
C_2013|2013|79.60130942334513
C_2014|2014|80.8926237222027
C_2015|2015|80.98857899059075
C_2016|2016|82.01033090313604
C_2017|2017|83.75725455196307
C_2018|2018|85.8030260572654
C_2019|2019|87.35800677388474
C_2020|2020|88.43564080593355
C_2021|2021|92.59019293099287
C_2022|2022|100.0
C_2023|2023|128.11
